Besin Adı	Kategori	Porsiyon (g)	Kalori (kcal)	Karbonhidrat (g)	Protein (g)	Yağ (g)
Salatalık	Sebzeler	91	13.7	3.3	0.6	0.1
Pirinç (pişmiş)	Tahıllar	160	208.0	45.0	4.6	0.4
Tavuk Göğsü	Et Ürünleri	98	161.7	0.0	30.4	3.5
Mercimek (pişmiş)	Baklagiller	156	218.4	37.4	18.7	0.8
Makarna (haşlanmış)	Tahıllar	146	214.1	38.9	6.8	1.3
Tam Buğday Ekmeği	Tahıllar	45	108.0	18.0	3.6	1.4
Tam Buğday Ekmeği	Tahıllar	55	132.0	22.0	4.4	1.6
Havuç	Sebzeler	108	44.3	10.8	1.0	0.2
Yoğurt (tam yağlı)	Süt Ürünleri	194	130.0	9.7	5.8	6.8
Havuç	Sebzeler	97	39.8	9.7	0.9	0.2
Makarna (haşlanmış)	Tahıllar	160	234.7	42.7	7.5	1.4
Tavuk Göğsü	Et Ürünleri	109	179.8	0.0	33.8	3.9
Nohut (pişmiş)	Baklagiller	154	246.4	35.9	12.3	4.1
Ceviz	Kuruyemişler	24	160.0	3.2	4.0	16.0
Beyaz Peynir	Süt Ürünleri	43	114.4	0.9	6.0	9.5
Domates	Sebzeler	156	28.1	6.0	1.4	0.3
Ceviz	Kuruyemişler	22	146.7	2.9	3.7	14.7
Tavuk Göğsü	Et Ürünleri	92	151.8	0.0	28.5	3.3
Haşlanmış Yumurta	Yumurtalar	55	85.8	0.7	6.9	5.8
Mercimek (pişmiş)	Baklagiller	143	200.2	34.3	17.2	0.8
Tavuk Göğsü	Et Ürünleri	108	178.2	0.0	33.5	3.9
Fındık	Kuruyemişler	32	192.0	5.3	4.3	18.1
Tavuk Göğsü	Et Ürünleri	103	169.9	0.0	31.9	3.7
Beyaz Peynir	Süt Ürünleri	59	156.9	1.2	8.3	13.0
Mercimek (pişmiş)	Baklagiller	140	196.0	33.6	16.8	0.7
Pirinç (pişmiş)	Tahıllar	141	183.3	39.7	4.0	0.4
Mercimek (pişmiş)	Baklagiller	143	200.2	34.3	17.2	0.8
Karpuz	Meyveler	204	61.2	15.3	1.2	0.2
Karpuz	Meyveler	196	58.8	14.7	1.2	0.2
Yoğurt (tam yağlı)	Süt Ürünleri	202	135.3	10.1	6.1	7.1
Muz	Meyveler	115	100.6	25.9	1.2	0.3
Bulgur (pişmiş)	Tahıllar	145	135.3	29.0	3.9	0.2
Elma	Meyveler	160	83.2	22.4	0.3	0.2
Makarna (haşlanmış)	Tahıllar	145	212.7	38.7	6.8	1.3
Haşlanmış Yumurta	Yumurtalar	49	76.4	0.6	6.2	5.2
Ceviz	Kuruyemişler	32	213.3	4.3	5.3	21.3
Zeytinyağı	Yağlar	11	99.0	0.0	0.0	11.0
Havuç	Sebzeler	107	43.9	10.7	1.0	0.2
Salatalık	Sebzeler	102	15.3	3.7	0.7	0.1
Muz	Meyveler	113	98.9	25.4	1.2	0.3
Mercimek (pişmiş)	Baklagiller	150	210.0	36.0	18.0	0.8
Pirinç (pişmiş)	Tahıllar	157	204.1	44.2	4.5	0.4
Pirinç (pişmiş)	Tahıllar	146	189.8	41.1	4.2	0.4
Haşlanmış Yumurta	Yumurtalar	42	65.5	0.5	5.3	4.5
Makarna (haşlanmış)	Tahıllar	154	225.9	41.1	7.2	1.3
Tam Buğday Ekmeği	Tahıllar	59	141.6	23.6	4.7	1.8
Nohut (pişmiş)	Baklagiller	144	230.4	33.6	11.5	3.8
Patates (haşlanmış)	Sebzeler	146	126.5	29.2	2.9	0.2
Patates (haşlanmış)	Sebzeler	152	131.7	30.4	3.0	0.2
Mercimek (pişmiş)	Baklagiller	147	205.8	35.3	17.6	0.8
Pirinç (pişmiş)	Tahıllar	143	185.9	40.2	4.1	0.4
Muz	Meyveler	128	112.0	28.8	1.4	0.3
Domates	Sebzeler	147	26.5	5.7	1.3	0.3
Elma	Meyveler	146	75.9	20.4	0.3	0.2
Dana Kıyma (yağlı)	Et Ürünleri	101	252.5	0.0	18.2	20.2
Kuzu Pirzola	Et Ürünleri	91	267.5	0.0	23.3	19.1
Dana Kıyma (yağlı)	Et Ürünleri	104	260.0	0.0	18.7	20.8
Portakal	Meyveler	120	57.2	14.2	1.1	0.2
Bulgur (pişmiş)	Tahıllar	155	144.7	31.0	4.1	0.2
Fındık	Kuruyemişler	24	144.0	4.0	3.2	13.6
Domates	Sebzeler	147	26.5	5.7	1.3	0.3
Süt (tam yağlı)	Süt Ürünleri	198	128.7	9.9	6.5	7.1
Nohut (pişmiş)	Baklagiller	148	236.8	34.5	11.8	3.9
Tam Buğday Ekmeği	Tahıllar	54	129.6	21.6	4.3	1.6
Mercimek (pişmiş)	Baklagiller	148	207.2	35.5	17.8	0.8
Salatalık	Sebzeler	104	15.6	3.7	0.7	0.1
Salatalık	Sebzeler	101	15.2	3.6	0.7	0.1
Mercimek (pişmiş)	Baklagiller	153	214.2	36.7	18.4	0.8
Patates (haşlanmış)	Sebzeler	143	123.9	28.6	2.9	0.2
Tavuk Göğsü	Et Ürünleri	105	173.2	0.0	32.5	3.8
Patates (haşlanmış)	Sebzeler	149	129.1	29.8	3.0	0.2
Tavuk Göğsü	Et Ürünleri	91	150.2	0.0	28.2	3.3
Kuzu Pirzola	Et Ürünleri	103	302.8	0.0	26.4	21.6
Mercimek (pişmiş)	Baklagiller	140	196.0	33.6	16.8	0.7
Nohut (pişmiş)	Baklagiller	145	232.0	33.8	11.6	3.9
Fındık	Kuruyemişler	21	126.0	3.5	2.8	11.9
Beyaz Peynir	Süt Ürünleri	57	151.6	1.1	8.0	12.5
Mercimek (pişmiş)	Baklagiller	155	217.0	37.2	18.6	0.8
Havuç	Sebzeler	104	42.6	10.4	0.9	0.2
Havuç	Sebzeler	95	39.0	9.5	0.9	0.2
Kuzu Pirzola	Et Ürünleri	92	270.5	0.0	23.6	19.3
Nohut (pişmiş)	Baklagiller	158	252.8	36.9	12.6	4.2
Patates (haşlanmış)	Sebzeler	152	131.7	30.4	3.0	0.2
Zeytinyağı	Yağlar	0	0.0	0.0	0.0	0.0
Yoğurt (tam yağlı)	Süt Ürünleri	200	134.0	10.0	6.0	7.0
Domates	Sebzeler	149	26.8	5.8	1.3	0.3
Havuç	Sebzeler	97	39.8	9.7	0.9	0.2
Domates	Sebzeler	159	28.6	6.1	1.4	0.3
Dana Kıyma (yağlı)	Et Ürünleri	108	270.0	0.0	19.4	21.6
Mercimek (pişmiş)	Baklagiller	157	219.8	37.7	18.8	0.8
Bulgur (pişmiş)	Tahıllar	151	140.9	30.2	4.0	0.2
Portakal	Meyveler	123	58.7	14.6	1.1	0.2
Havuç	Sebzeler	97	39.8	9.7	0.9	0.2
Makarna (haşlanmış)	Tahıllar	158	231.7	42.1	7.4	1.4
Dana Kıyma (yağlı)	Et Ürünleri	106	265.0	0.0	19.1	21.2
Havuç	Sebzeler	102	41.8	10.2	0.9	0.2
Fındık	Kuruyemişler	30	180.0	5.0	4.0	17.0
Badem	Kuruyemişler	27	153.0	5.4	5.4	13.5
Mercimek (pişmiş)	Baklagiller	145	203.0	34.8	17.4	0.8
Zeytinyağı	Yağlar	8	72.0	0.0	0.0	8.0
Portakal	Meyveler	123	58.7	14.6	1.1	0.2
Kuzu Pirzola	Et Ürünleri	105	308.7	0.0	26.9	22.1
Tam Buğday Ekmeği	Tahıllar	52	124.8	20.8	4.2	1.6
Bulgur (pişmiş)	Tahıllar	141	131.6	28.2	3.8	0.2
Mercimek (pişmiş)	Baklagiller	157	219.8	37.7	18.8	0.8
